5:05:30 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 63378 
5:05:30 PM info -  [SocketServerLauncher] Starting GLSP server connection 
5:05:30 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: c5225d75-d6ed-47e5-8edc-58f143d9288c, protocolVersion: 1.0.0 
5:05:30 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
5:05:30 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
5:05:30 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
5:05:30 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:05:30 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
5:05:34 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
5:05:34 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:05:34 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
5:05:34 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:05:35 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
5:05:35 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
5:05:35 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:05:36 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
