12:18:43 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 64590 
12:18:43 PM info -  [SocketServerLauncher] Starting GLSP server connection 
12:18:43 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 5ffb41eb-6657-4fbe-b2c0-b56dfced79cd, protocolVersion: 1.0.0 
12:18:43 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
12:18:43 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
12:18:43 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
12:18:43 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
12:18:43 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
12:18:46 PM info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
12:18:46 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
12:18:47 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
12:18:49 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
12:18:49 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
12:18:50 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
12:18:51 PM info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
12:18:51 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
12:18:52 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
