5:16:07 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55257 
5:16:08 PM info -  [SocketServerLauncher] Starting GLSP server connection 
5:16:08 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 190ba851-3132-4812-a27f-bf57fe7a87bf, protocolVersion: 1.0.0 
5:16:08 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
5:16:08 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
5:16:08 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
5:16:08 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:16:08 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
5:16:13 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
5:16:13 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:16:14 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
5:16:18 PM info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
5:16:18 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:16:19 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
