6:30:43 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 57803 
6:30:43 PM info -  [SocketServerLauncher] Starting GLSP server connection 
6:30:43 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: b9de56ec-f260-40a3-865a-15db2428ff2e, protocolVersion: 1.0.0 
6:30:43 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
6:30:43 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
6:30:43 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
6:30:44 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:30:44 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
6:30:49 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
6:30:49 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:30:50 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:30:50 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
6:30:50 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:30:52 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:30:57 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
6:30:57 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:30:57 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
6:30:57 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:30:58 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
