6:31:17 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 57825 
6:31:17 PM info -  [SocketServerLauncher] Starting GLSP server connection 
6:31:17 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: bc80d027-c16b-4d1a-adae-d8c34ec623e5, protocolVersion: 1.0.0 
6:31:17 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
6:31:17 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
6:31:17 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
6:31:17 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:31:17 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
6:31:20 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
6:31:20 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:31:21 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:31:21 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
6:31:21 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:31:22 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
