6:31:36 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 57859 
6:31:36 PM info -  [SocketServerLauncher] Starting GLSP server connection 
6:31:36 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 46672ac1-dd2e-4fd3-8965-c44d2f6e5adf, protocolVersion: 1.0.0 
6:31:36 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
6:31:36 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
6:31:36 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
6:31:36 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:31:36 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
6:31:38 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
6:31:39 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:31:40 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:31:40 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
6:31:40 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:31:41 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
