12:41:47 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 64460 
12:41:47 PM info -  [SocketServerLauncher] Starting GLSP server connection 
12:41:47 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 58ce5e1a-4095-4bf6-9391-cf66c73027b7, protocolVersion: 1.0.0 
12:41:48 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
12:41:48 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
12:41:48 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
12:41:48 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
12:41:48 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
12:41:52 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
12:41:52 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
12:41:53 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
12:41:53 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
12:41:54 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
12:41:56 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
12:41:57 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
12:41:58 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
12:41:58 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
12:41:58 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
12:41:59 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
