1:02:19 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 49805 
1:02:19 PM info -  [SocketServerLauncher] Starting GLSP server connection 
1:02:19 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 48f6d191-c757-4ad6-84c8-c59f2b36c49a, protocolVersion: 1.0.0 
1:02:19 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
1:02:19 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
1:02:19 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
1:02:19 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:02:19 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
1:02:21 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:02:21 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:02:22 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:02:22 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
1:02:22 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:02:23 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:02:24 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
1:02:24 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:02:25 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:02:26 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
1:02:26 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:02:27 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:02:29 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
1:02:29 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:02:30 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:02:30 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:02:30 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
1:02:30 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:02:31 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:02:33 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
1:02:33 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:02:34 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
