1:26:30 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 50251 
1:26:30 PM info -  [SocketServerLauncher] Starting GLSP server connection 
1:26:30 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: e5349343-b9e9-4240-bf35-c05a3c322c6a, protocolVersion: 1.0.0 
1:26:30 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
1:26:30 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
1:26:30 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
1:26:30 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:30 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
1:26:32 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:32 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:33 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:26:33 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
1:26:33 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:34 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:26:34 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:34 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:35 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:26:35 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
1:26:35 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:36 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:36 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:37 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:26:37 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:37 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:38 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:38 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:38 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:38 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:39 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:26:40 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
1:26:40 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:40 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:40 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:41 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:41 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:42 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:42 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:42 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:42 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:43 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:43 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:44 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:26:44 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:26:45 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
