2:50:49 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 51768 
2:50:49 PM info -  [SocketServerLauncher] Starting GLSP server connection 
2:50:49 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: ca3513d4-88a2-46a5-8ece-0ce37d9065a3, protocolVersion: 1.0.0 
2:50:49 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
2:50:49 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
2:50:49 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
2:50:50 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:50:50 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
2:50:54 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:50:54 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:50:55 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
2:50:55 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
2:50:55 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:50:56 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
2:50:57 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:50:57 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:50:58 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
2:50:59 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:50:59 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:51:00 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
2:51:04 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:51:04 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:51:05 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:51:05 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:51:06 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
