2:13:50 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 59147 
2:13:50 PM info -  [SocketServerLauncher] Starting GLSP server connection 
2:13:50 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: d247e030-379d-4ac9-b977-a0c798fb34e4, protocolVersion: 1.0.0 
2:13:50 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
2:13:50 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
2:13:50 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
2:13:50 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:13:50 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
2:13:52 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
2:13:52 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:13:53 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
2:14:00 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
2:14:00 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:14:01 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
2:14:06 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:14:06 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:14:07 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
