2:20:28 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 59390 
2:20:28 PM info -  [SocketServerLauncher] Starting GLSP server connection 
2:20:28 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: a9a73b40-14b8-45b5-9f4d-ecea9dedfd9e, protocolVersion: 1.0.0 
2:20:28 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
2:20:28 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
2:20:28 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
2:20:28 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:20:28 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
2:20:30 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:20:30 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:20:31 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:20:31 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:20:32 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
2:20:32 PM info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
2:20:32 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:20:33 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
2:20:34 PM info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
2:20:34 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:20:35 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
2:20:36 PM info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
2:20:36 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:20:37 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:20:37 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:20:38 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
