3:28:47 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60373 
3:28:47 PM info -  [SocketServerLauncher] Starting GLSP server connection 
3:28:47 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: b86b3b10-4d35-427d-a3dd-7d7b4db16aa8, protocolVersion: 1.0.0 
3:28:47 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
3:28:47 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
3:28:47 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
3:28:48 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
3:28:48 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
3:28:49 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
3:28:49 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
3:28:50 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
3:28:51 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
3:28:51 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
3:28:52 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
3:28:52 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
3:28:53 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
