4:38:03 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 61141 
4:38:03 PM info -  [SocketServerLauncher] Starting GLSP server connection 
4:38:03 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 5e5f0ca0-9a73-4e1d-bf53-2ab41f34ec64, protocolVersion: 1.0.0 
4:38:03 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
4:38:03 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
4:38:03 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
4:38:03 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:38:03 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
4:38:08 PM info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
4:38:09 PM info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
4:38:09 PM info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
4:38:09 PM info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
4:38:09 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:38:09 PM info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
4:38:10 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
