4:47:31 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 61355 
4:47:31 PM info -  [SocketServerLauncher] Starting GLSP server connection 
4:47:31 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: be0d8ae1-d2fd-4c11-bcbc-72fbf4b35b3d, protocolVersion: 1.0.0 
4:47:31 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
4:47:31 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
4:47:31 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
4:47:31 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:47:31 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
4:47:33 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
4:47:33 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:47:34 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:47:34 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:47:35 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
4:47:35 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
4:47:35 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:47:36 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
4:47:36 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:47:36 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:47:37 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
4:47:38 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
4:47:38 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:47:39 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
