11:36:28 AM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 51078 
11:36:28 AM info -  [SocketServerLauncher] Starting GLSP server connection 
11:36:28 AM info -  [DefaultGLSPServer] Initializing server with: applicationId: dd35e5f5-5176-4e9c-93f7-b39eb72c63b0, protocolVersion: 1.0.0 
11:36:28 AM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
11:36:28 AM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
11:36:28 AM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
11:36:28 AM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
11:36:28 AM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
11:36:30 AM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
11:36:30 AM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
11:36:31 AM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
11:36:32 AM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
11:36:32 AM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
11:36:33 AM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
11:36:34 AM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
11:36:34 AM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
11:36:35 AM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
