1:58:38 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 53761 
1:58:38 PM info -  [SocketServerLauncher] Starting GLSP server connection 
1:58:38 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: c6c7b385-640f-44f6-8cb5-647cd0fb9f13, protocolVersion: 1.0.0 
1:58:38 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
1:58:38 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
1:58:38 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
1:58:38 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:58:38 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
1:58:42 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:58:42 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:58:43 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:58:43 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:58:44 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
