1:59:37 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 53804 
1:59:37 PM info -  [SocketServerLauncher] Starting GLSP server connection 
1:59:37 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: e230d5e9-6070-491d-ba73-05bc52794d99, protocolVersion: 1.0.0 
1:59:37 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
1:59:37 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
1:59:37 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
1:59:37 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:59:37 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
1:59:40 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:59:40 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:59:41 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:59:42 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:59:42 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:59:43 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:59:43 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:59:43 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:59:44 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
