2:01:20 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 53857 
2:01:20 PM info -  [SocketServerLauncher] Starting GLSP server connection 
2:01:20 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: b17637a8-966d-47c0-b556-09a727d7f514, protocolVersion: 1.0.0 
2:01:20 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
2:01:20 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
2:01:20 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
2:01:20 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:01:20 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
2:01:22 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:01:22 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:01:23 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
2:01:23 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:01:23 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:01:24 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
2:01:24 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
2:01:25 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
