3:24:53 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55709 
3:24:53 PM info -  [SocketServerLauncher] Starting GLSP server connection 
3:24:53 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 1417704a-be08-4e16-aec5-53fddfa00680, protocolVersion: 1.0.0 
3:24:53 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
3:24:53 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
3:24:53 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
3:24:53 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
3:24:53 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
3:24:56 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
3:24:56 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
3:24:57 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
3:24:58 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
3:24:58 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
3:24:59 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
