4:20:54 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 54388 
4:20:54 PM info -  [SocketServerLauncher] Starting GLSP server connection 
4:20:55 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: c5c8e59e-a440-4646-b8c8-4a1bdd003a74, protocolVersion: 1.0.0 
4:20:55 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
4:20:55 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
4:20:55 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
4:20:55 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:20:55 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
4:20:56 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:20:56 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:20:57 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:20:57 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:20:57 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:20:57 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:20:58 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:20:58 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:20:59 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
4:21:00 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:21:00 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:21:01 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
4:21:01 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:21:01 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:21:02 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:21:02 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:21:03 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
