4:05:44 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 54113 
4:05:44 PM info -  [SocketServerLauncher] Starting GLSP server connection 
4:05:44 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 22cc64a7-4542-44af-833c-615a8453a6b4, protocolVersion: 1.0.0 
4:05:44 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
4:05:44 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
4:05:44 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
4:05:44 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:05:44 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
4:05:46 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:05:46 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:05:46 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:05:46 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:05:47 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:05:47 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:05:48 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:05:48 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:05:48 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:05:48 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:05:49 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:05:49 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:05:50 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
4:05:52 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:05:52 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:05:53 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
4:05:55 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:05:55 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:05:56 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
4:05:58 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
4:05:58 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
4:05:59 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
