5:51:49 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55459 
5:51:49 PM info -  [SocketServerLauncher] Starting GLSP server connection 
5:51:49 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 102cf8da-0e7b-4e5d-9f2d-a4fbb5427c0f, protocolVersion: 1.0.0 
5:51:49 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
5:51:49 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
5:51:49 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
5:51:49 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:51:49 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
5:51:56 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
5:51:56 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:51:57 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
5:52:00 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
5:52:00 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:52:01 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
