5:52:23 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55500 
5:52:23 PM info -  [SocketServerLauncher] Starting GLSP server connection 
5:52:23 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: a01495c2-16a2-437e-91fe-4743f884909d, protocolVersion: 1.0.0 
5:52:23 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
5:52:23 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
5:52:23 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
5:52:23 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:52:23 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
5:52:25 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
5:52:25 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:52:27 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
5:52:33 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
5:52:33 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
5:52:34 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
