6:16:42 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55765 
6:16:42 PM info -  [SocketServerLauncher] Starting GLSP server connection 
6:16:42 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 3b3bdfbd-e9bd-4ff6-8ba9-873e14d6579c, protocolVersion: 1.0.0 
6:16:42 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
6:16:42 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
6:16:42 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
6:16:42 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:16:42 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
6:16:45 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
6:16:45 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:16:46 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:16:46 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
6:16:46 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:16:47 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:16:48 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
6:16:48 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:16:49 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
6:16:49 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:16:50 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:16:52 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
6:16:52 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:16:53 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
