6:17:22 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55807 
6:17:22 PM info -  [SocketServerLauncher] Starting GLSP server connection 
6:17:22 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: 3269ccd2-daeb-4084-8d80-d825c84989f3, protocolVersion: 1.0.0 
6:17:22 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
6:17:22 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
6:17:23 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
6:17:23 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:17:23 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
6:17:24 PM info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
6:17:24 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:17:26 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:17:26 PM info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
6:17:26 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:17:27 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:17:28 PM info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
6:17:28 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:17:29 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:17:31 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
6:17:31 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:17:32 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:17:32 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
6:17:32 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:17:33 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:17:33 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
6:17:33 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:17:34 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
6:17:35 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
6:17:35 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
6:17:36 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
